Which of the following types of ticketed experience have you *attended in the past 5 years*?,"And overall, *how often do you go* to these types of activities?",Who do you typically *spend your free time with*?,And would you mind telling us *your age*?,"This experience is *inspired by TV game shows and escape rooms*.

It* *combines *thrills* with physical and mental *challenges*.

You go to a *purpose-built venue* with *2 to 15 other people*, 
and you all play *a series of minigames*. 

Right off the bat, does this *sound like something you would do*?",Did that description *make you think of any* of the following themes?,Did that description *make you think of any* of the following themes?,"*Welcome to Prison Island.*

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame*.

To what extent *would you like to go *to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

How do you think it compares *versus Prison Island*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go *to this?","*Welcome to Prison Island*.

*You have 60 minutes* to beat challenges in *12 different cells* - each *a different minigame.*

How do you think it compares *versus* *BRKThrough*?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*,

and whoever loses gets covered in paint!

To what extent *would you like to go* to this?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame.*

How do you think it compares *versus Glow or Go*?","*This is BRKThrough.*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*.

To what extent *would you like to go* to this?","*It's Glow or Go!*

*You have 60 minutes* to beat challenges in *12 different rooms* - each *a different minigame*, 

and whoever loses gets covered in paint!

How do you think it compares *versus BRKThrough*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?","Knowing what you know, which one would you say *is true*?",And which one do you think *most people would prefer*?,And which one do you think *most people would prefer*?,Who would you expect to *have a better time at Prison Island*?,And how much would you expect *one ticket* *for* *Prison Island to cost*?,Who would you expect to *have a better time at BRKThrough*?,And how much would you expect *one ticket* *for* *BRKThrough to cost*?,Who would you expect to *have a better time at Glow or Go*?,And how much would you expect *one ticket* *for* *Glow or Go to cost*?,"*Alright that's all! *No more questions from our side.

Your* $15 gift code is on the next page*.

Make sure to *hit the button to record your answers *and complete the survey.

If you'd like to *share any closing thoughts*, type them here!",idu,c,ct,g,v,j,Submitted At,Token
"*Talks / Conferences*, *Movies / Cinema*, *Music Concerts*, *Exhibitions / Museums*, *Nightlife / Festivals*, *Theatre / Performances*, *Comedy Shows*, *Immersive Experiences*",*Once a week*,"*Partner*, *Friends* - from *Work*, *Friends* - from *School*",*25-34*,Not sure what it’s alluding to but it sounds like something I’d be interested in!,,"*Heist*, *Clocks*, *Arcade*, *Space*, *Videogame*",5,3,,,,,,,They're *about the same*,,,,*BRKThrough*,,,,"*Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Mature groups of friends*, *Tourists*",35,,,,28776512,16,236,a,n,j,6/6/2026 21:00:14,gsd4wysfedqq4i4fezmgsofxw1lvkzsj
"*Immersive Experiences*, *Sports / Competitions*, *Exhibitions / Museums*, *Theatre / Performances*, *Movies / Cinema*, *Music Concerts*",*Once or twice a year*,,*35-44*,*Just found out* and am *interested*,,*Heist*,,,,,2,3,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,"*Young groups of friends*, *Families (with kids)*, *Friend gatherings / Birthdays*",30,,,,99387772,52,236,c,v,j,6/6/2026 21:00:32,klz2rj8cmri2ewxiglevklz2rl02k87o
"*Movies / Cinema*, *Exhibitions / Museums*, *Immersive Experiences*, *Nightlife / Festivals*, *Theatre / Performances*, *Music Concerts*, *Comedy Shows*, *Sports / Competitions*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*, Other* family*",*25-34*,*Just found out* but *not for me*,,"*Space*, *Dance*",,,3,,,,,,,They're *about the same*,,,,,,,"*Families (only adults)*, *Young groups of friends*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*",45,,,,52822902,54,236,b,n,j,6/6/2026 21:12:09,qyzdelw9u0j7ek8kc8nwbqyzdelw44yo
"*Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a year*,"*Parent(s)*, Other* family*, *Sibling(s)*",*35-44*,*Just found out* and am *interested*,,*Heist*,3,1,,,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,"*Work groups / Teambuilding*, *Families (only adults)*, *Friend gatherings / Birthdays*",20,,,,,,35688440,21,236,a,v,j,6/6/2026 21:25:48,d7bdf4eljp0yixieg7td7bdf4mmsjpv2
"*Music Concerts*, *Movies / Cinema*, *Exhibitions / Museums*, *Theatre / Performances*, *Comedy Shows*, *Sports / Competitions*",*Every other month*,"*Friends* - from *Elsewhere*, *Partner*, Other* family*, *My child(ren)*, *Friends* - from *School*",*55-64*,*Just found out* and am *interested*,"*Bowling Alley*, *Sports*",,2,,,,,,,,They're *about the same*,,,,,,,,*Young groups of friends*,30,,,,61432263,16,236,a,n,l,6/6/2026 21:53:25,bibnosgp8qdzdhu18bibne94e7lylahi
"*Exhibitions / Museums*, *Movies / Cinema*, *Immersive Experiences*, *Theatre / Performances*, *Music Concerts*",*Once or twice a month*,"*My child(ren)*, *Partner*, *Friends* - from *Elsewhere*",*65-74*,I know *people who would* *like* this,"*Arcade*, *Fairground*, *Bowling Alley*, *Videogame*, *Sports*",,1,,,,,,,,,*BRKThrough *is* much better*,,,,,,,"*Tourists*, *Mature groups of friends*, *Work groups / Teambuilding*",25,,,Include photo ops,28609148,6,236,a,v,l,6/6/2026 22:05:22,sova7dstj9h2cvjplqwgsova7o6clg6a
"*Movies / Cinema*, *Music Concerts*, *Exhibitions / Museums*",*Once or twice a month*,,*65-74*,"Don't know,* not sure I get it*",*Videogame*,,,,,,,,5,3,,,,,,,,,,,,,,31623820,16,236,d,v,l,1/1/0001 0:00:00,760oiklg5hto3uzxs6us760oikux1o9o
"*Movies / Cinema*, *Music Concerts*, *Exhibitions / Museums*",*Once or twice a month*,,*65-74*,"Don't know,* not sure I get it*",*Videogame*,,,,,,,,5,3,,,,,,*Glow or Go*,,,,,*Mature groups of friends*,50,Loved 80’s Teen Beat,31623820,16,236,d,v,l,6/6/2026 22:29:28,760oiklg5hto3uzxs6us760oikux1o9o
"*Immersive Experiences*, *Sports / Competitions*, *Movies / Cinema*, *Exhibitions / Museums*, *Music Concerts*, *Theatre / Performances*",*Every other week*,"*Partner*, *Sibling(s)*, *Friends* - from *Elsewhere*",*35-44*,*I knew this* but *not for me*,"*Heist*, *Videogame*, *Jail*",,,,5,4,,,,,,They're *about the same*,,,*Prison Island*,,"*Friend gatherings / Birthdays*, *Families (with kids)*, *Families (only adults)*",12,,,,,,55001849,16,236,b,n,l,6/6/2026 22:29:47,epcnppgy7u6nvkla70epcnp039vos4x6
"*Comedy Shows*, *Movies / Cinema*, *Immersive Experiences*, *Music Concerts*, *Nightlife / Festivals*, *Sports / Competitions*, *Talks / Conferences*, *Exhibitions / Museums*, *Theatre / Performances*",*Once or twice a month*,"*Partner*, *Parent(s)*, Other* family*",*45-54*,I've *done this myself *in the past,,"*Clocks*, *Heist*, *Arcade*, *Videogame*, *Sports*",4,3,,,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,,35,,,,,,96954069,21,236,a,v,j,6/6/2026 22:32:25,5pd0yj98gz615lag5pd012dal88l5zra
"*Theatre / Performances*, *Exhibitions / Museums*, *Music Concerts*",*Every other month*,,*45-54*,*Just found out* and am *interested*,Taskmaster,,1,3,,,,,,,,BRKThrough is *slightly better*,,,,,,,"*Families (with kids)*, *Work groups / Teambuilding*, *Tourists*, *Friend gatherings / Birthdays*",25,,,,55454079,52,236,a,v,l,6/6/2026 22:36:29,padexjhadzewxvhp7k0padexjmucosar
"*Movies / Cinema*, *Talks / Conferences*, *Immersive Experiences*, *Exhibitions / Museums*",*Once or twice a month*,"*Partner*, *My child(ren)*",*65-74*,*Just found out* but *not for me*,"*Jail*, *Arcade*, *Videogame*",,,,2,3,,,,,,They're *about the same*,,,*Prison Island*,,"*Young groups of friends*, *School trips*, *Friend gatherings / Birthdays*, *Families (with kids)*",20,,,,,"Your immersive experience for Machu Pichu was awesome. While the processing power does not allow for crystal clear video, the effect was spectacular and very enjoyable. Your price for admission to the Machu Pichu experience was very reasonable. We have seen the Van Gogh exhibit and loved that as well. Since we are older, taking us on art/travel experiences is awesome; please continue to do that. My other suggestion is to use popular stories and build an experience out of that. I believe you do something with Harry Potter which appeals to the younger crowd and us (we are 65 and 73). You could also do something with Greek mythology, life in Rome, a trip through national parks (Yellowstone, Mesa Verde, Zion, Bryce, ...), and travel through time in one general location to see geographic changes. I suspect you have already thought of these ideas and want to encourage you to continue considering them. If processing power allows, it might be advantageous to run different adventures at the same location. We will be looking for more options in the future.",100160340,52,236,b,v,l,6/6/2026 22:50:45,htilsawrwau0w3pgruhtilsaw0f3g540
"*Exhibitions / Museums*, *Music Concerts*",*Once or twice a year*,"*Sibling(s)*, *Parent(s)*",*25-34*,*Just found out* and am *interested*,"*Clocks*, *Arcade*, *Heist*, *Jail*, *Space*",,,,1,,,,,,,Prison Island is *slightly better*,,,*Prison Island*,,*Friend gatherings / Birthdays*,45,,,,,For Candlelight concerts please consider doing Ariana Grande or BTS please,55301394,6,236,b,v,l,6/6/2026 23:17:45,7cy430rru0cbuqovmxfy7cy43k589s5v
*Music Concerts*,*Once or twice a year*,"*Partner*, *Friends* - from *School*, *My child(ren)*, Other* family*, *Sibling(s)*, *Parent(s)*, *Friends* - from *Elsewhere*",*55-64*,I've *done this myself *in the past,,"*Arcade*, *Sports*, *Bowling Alley*, *Ocean*, *Fairground*",,,,,,,4,1,,,,,,,,,,,,,,93009915,52,236,d,n,j,1/1/0001 0:00:00,tyk59o2lty83jzsd6urrejqdfcuzy3wk
*Music Concerts*,*Once or twice a year*,"*Partner*, *Friends* - from *School*, *My child(ren)*, Other* family*, *Sibling(s)*, *Parent(s)*, *Friends* - from *Elsewhere*",*55-64*,I've *done this myself *in the past,,"*Arcade*, *Sports*, *Bowling Alley*, *Ocean*, *Fairground*",,,,,,,4,1,,,They're *about the same*,,,*BRKThrough*,,,"*Young groups of friends*, *Families (only adults)*, *Work groups / Teambuilding*",30,,,,93009915,52,236,d,n,j,6/6/2026 23:28:40,tyk59o2lty83jzsd6urrejqdfcuzy3wk
"*Movies / Cinema*, *Music Concerts*, *Immersive Experiences*, *Nightlife / Festivals*, *Exhibitions / Museums*",*Once or twice a month*,Various friends and boyfriend,*45-54*,*Just found out* and am *interested*,,Escape rooms and scavenger hunts,,,,,,,4,4,,,,,,,,,,,,,,27946392,16,236,d,v,j,1/1/0001 0:00:00,r3g1nvl7rlt5uf6w4lr3gdu7596sh5xx
"*Movies / Cinema*, *Music Concerts*, *Immersive Experiences*, *Nightlife / Festivals*, *Exhibitions / Museums*",*Once or twice a month*,Various friends and boyfriend,*45-54*,*Just found out* and am *interested*,,Escape rooms and scavenger hunts,,,,,,,4,4,,,They're *about the same*,,,*BRKThrough*,,,,30,,,,27946392,16,236,d,v,j,6/6/2026 23:31:47,r3g1nvl7rlt5uf6w4lr3gdu7596sh5xx
*Immersive Experiences*,*Less than that*,,*75-84*,*Just found out* but *not for me*,,*Dance*,,,1,,,,,,,Prison Island is *slightly better*,,,,,,,*Young groups of friends*,40,,,,35464036,52,236,b,v,j,6/6/2026 23:41:19,tisqyeplnid36y5yflvuwrtisqye7m4i
"*Sports / Competitions*, *Comedy Shows*, *Movies / Cinema*, *Theatre / Performances*, *Nightlife / Festivals*, *Exhibitions / Museums*, *Music Concerts*, *Immersive Experiences*, *Talks / Conferences*",*Once a week*,"*My child(ren)*, *Partner*, *Friends* - from *Elsewhere*",*45-54*,"I know *people who do* this, Actually I *really enjoy these*, I know *people who would* *like* this","*Bowling Alley*, *Arcade*, *Heist*, *Jail*",,5,3,,,,,,,,,,,*Prison Island*,,"*Families (only adults)*, *Mature groups of friends*, *Work groups / Teambuilding*, *Young groups of friends*, *Families (with kids)*",30,,,,,,78759721,21,236,a,v,l,6/6/2026 23:50:13,04npnqf1lmwrvf0z04npn2119mqa9ddt
"*Exhibitions / Museums*, *Talks / Conferences*, *Theatre / Performances*, *Sports / Competitions*, *Music Concerts*, *Movies / Cinema*, *Nightlife / Festivals*",*Once a week*,*Friends* - from *Elsewhere*,*45-54*,"Don't know,* not sure I get it*",,*Sports*,,,3,3,,,,,,They're *about the same*,,,*Prison Island*,,*Mature groups of friends*,30,,,,,,28225458,6,236,b,n,j,6/7/2026 0:00:10,5q5i2gdrsonjez35q5i2mzb1od50snhi
*Theatre / Performances*,*Every other month*,*Partner*,*35-44*,I know *people who do* this,*Heist*,,2,2,,,,,,,,They're *about the same*,,,*Prison Island*,,*Work groups / Teambuilding*,35,,,,,,86311700,52,236,a,n,l,6/7/2026 0:05:25,7v6dqofgkyh5d8xzh67v6dhjd4kk9y8q
"*Exhibitions / Museums*, *Talks / Conferences*, *Comedy Shows*, *Theatre / Performances*, *Immersive Experiences*, *Movies / Cinema*",*Every other week*,"*Partner*, *Friends* - from *Work*, *Friends* - from *Elsewhere*",*55-64*,*Just found out* and am *interested*,*Videogame*,,,,3,1,,,,,,*BRKThrough *is* much better*,,,*BRKThrough*,,,,"*Families (with kids)*, *Young groups of friends*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *School trips*, *Mature groups of friends*",25,,,,52637042,21,236,b,n,l,6/7/2026 0:30:55,f3qplmcqqiipcw68f3qplma6ga769vi5
*Music Concerts*,*Once or twice a year*,*Partner*,*75-84*,*Just found out* but *not for me*,"*Sports*, *Videogame*",,1,3,,,,,,,,They're *about the same*,,,*BRKThrough*,,,,*Young groups of friends*,,,,,28888308,6,236,a,n,l,6/7/2026 0:56:24,wk8tek0wuu912qucuwk8tpfwp05x4p86
"*Theatre / Performances*, *Exhibitions / Museums*, *Immersive Experiences*",*Once or twice a year*,"*Partner*, *My child(ren)*, *Friends* - from *Elsewhere*",*45-54*,*Just found out* and am *interested*,"*Ocean*, *Heist*, *Fairground*",,5,3,,,,,,,They're *about the same*,,,,*BRKThrough*,,,,*Friend gatherings / Birthdays*,30,,,,45109833,21,236,a,n,l,6/7/2026 1:14:51,zto4k2bcc10b97w1i2zto4alq222mt3b
"*Theatre / Performances*, *Immersive Experiences*, *Music Concerts*",*Once or twice a year*,"Other* family*, *Friends* - from *Elsewhere*",*Skip question*,*Just found out* but *not for me*,"*Space*, *Videogame*, *Arcade*",,,,,,,,2,1,,,,,,,,,,,,,,51944135,54,236,d,n,l,1/1/0001 0:00:00,fwv4m38krc85hhcnxfwvwv7lagrb6bn2
"*Theatre / Performances*, *Immersive Experiences*, *Music Concerts*",*Once or twice a year*,"Other* family*, *Friends* - from *Elsewhere*",*Skip question*,*Just found out* but *not for me*,"*Space*, *Videogame*, *Arcade*",,,,,,,,2,1,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,"*Friend gatherings / Birthdays*, *Young groups of friends*, *Tourists*, *Families (with kids)*",40,,,,51944135,54,236,d,n,l,6/7/2026 2:04:48,fwv4m38krc85hhcnxfwvwv7lagrb6bn2
"*Exhibitions / Museums*, *Theatre / Performances*, *Comedy Shows*, *Talks / Conferences*, *Immersive Experiences*, *Movies / Cinema*, *Music Concerts*",*Once or twice a month*,*Friends* - from *Elsewhere*,*65-74*,I know *people who would* *like* this,,,,,2,3,,,,,,They're *about the same*,,,*BRKThrough*,,,,"*Families (only adults)*, *Work groups / Teambuilding*, *Mature groups of friends*, *Friend gatherings / Birthdays*",25,,,,99393380,16,236,b,n,j,6/7/2026 2:21:23,6nx6xwmxsizahpes8ct6nx6xwjjet1dk
"*Nightlife / Festivals*, *Sports / Competitions*, *Exhibitions / Museums*, *Music Concerts*, *Comedy Shows*, *Immersive Experiences*, *Movies / Cinema*, *Theatre / Performances*",*Once or twice a year*,,*35-44*,*Just found out* and am *interested*,,"*Videogame*, *Heist*, *Arcade*",,,4,5,,,,,,*Prison Island *is* much better*,,,*Prison Island*,,"*Mature groups of friends*, *Friend gatherings / Birthdays*, *Young groups of friends*, *Families (only adults)*",35,,,,,,98388005,16,236,b,v,j,6/7/2026 2:41:44,33eq3p61nl75njiju1f1ys33eq3p3iua
"*Comedy Shows*, *Exhibitions / Museums*, *Music Concerts*, *Nightlife / Festivals*",*Every other month*,,*45-54*,"Don't know,* not sure I get it*",,"*Videogame*, *Arcade*",1,,,,,,,,They're *about the same*,,,,*Prison Island*,,*Young groups of friends*,25,,,,,,45857883,6,236,a,v,j,6/7/2026 2:58:43,h00kj6hn1pivwuomzg9h00kj6v44k2oc
"*Exhibitions / Museums*, *Immersive Experiences*, *Theatre / Performances*, *Talks / Conferences*, *Nightlife / Festivals*, *Movies / Cinema*",*Once or twice a month*,*Partner*,*65-74*,Actually I *really enjoy these*,,"*Space*, *Arcade*",,,5,3,,,,,,They're *about the same*,,,*BRKThrough*,,,,*Young groups of friends*,40,,,,99979576,6,236,b,n,j,6/7/2026 3:25:20,vpmqc2uvwvlh19bdlh2ivpmqc2unflmj
"*Sports / Competitions*, *Nightlife / Festivals*, *Theatre / Performances*, *Exhibitions / Museums*, *Music Concerts*, *Immersive Experiences*, *Comedy Shows*, *Movies / Cinema*",*Every other week*,"*Friends* - from *Work*, *Partner*",*35-44*,Actually I *really enjoy these*,,*Fairground*,,,,,,,5,5,,,,,,,,,,,,,,27709732,54,236,d,v,j,1/1/0001 0:00:00,d0q2thxfp8ct7v5fkea6qd0q2thxe319
"*Sports / Competitions*, *Nightlife / Festivals*, *Theatre / Performances*, *Exhibitions / Museums*, *Music Concerts*, *Comedy Shows*, *Movies / Cinema*",*Every other week*,"*Friends* - from *Work*, *Partner*",*35-44*,Actually I *really enjoy these*,,*Fairground*,,,,,,,5,5,,,,,,,,,,,,,,27709732,54,236,d,v,j,1/1/0001 0:00:00,vodjew9hra8zciftlvod2t1tj3v4gbt0
"*Sports / Competitions*, *Nightlife / Festivals*, *Theatre / Performances*, *Exhibitions / Museums*, *Music Concerts*, *Comedy Shows*, *Movies / Cinema*",*Every other week*,"*Friends* - from *Work*, *Partner*",*35-44*,Actually I *really enjoy these*,,*Fairground*,,,,,,,5,5,,,*Glow or Go *is* much better*,,,*Glow or Go*,,,,,"*Families (with kids)*, *Tourists*, *Young groups of friends*, *Work groups / Teambuilding*, *Friend gatherings / Birthdays*, *Mature groups of friends*, *Families (only adults)*",30,,27709732,54,236,d,v,j,6/7/2026 4:09:30,vodjew9hra8zciftlvod2t1tj3v4gbt0
"*Music Concerts*, *Comedy Shows*, *Exhibitions / Museums*, *Immersive Experiences*, *Movies / Cinema*",*Every other month*,"*My child(ren)*, *Friends* - from *Elsewhere*, *Partner*",*35-44*,"*Just found out* and am *interested*, I know *people who would* *like* this",,"*Fairground*, *Heist*, *Arcade*",,,,,3,4,,,,,BRKThrough is *slightly better*,,,*BRKThrough*,,,"*Families (with kids)*, *Work groups / Teambuilding*, *Young groups of friends*, *Mature groups of friends*, *Friend gatherings / Birthdays*",40,,,,84892445,114,236,c,n,j,6/7/2026 4:13:25,vv30zwzh5r9f92nvpvv30kzq8cdr6mpv
*Nightlife / Festivals*,*Once a week*,*Friends* - from *Elsewhere*,*55-64*,I've *done this myself *in the past,,*Dance*,,,,,,,5,3,,,,,,,,,,,,,,100569846,16,236,d,n,j,1/1/0001 0:00:00,njqi8oziltput3sdcnjqi8obirf62zsn
*Nightlife / Festivals*,*Once a week*,*Friends* - from *Elsewhere*,*55-64*,I've *done this myself *in the past,,*Dance*,,,,,,,5,3,,,,They're *about the same*,,*BRKThrough*,,,"*Mature groups of friends*, *Families (with kids)*, *Friend gatherings / Birthdays*, *Families (only adults)*",69,,,,100569846,16,236,d,n,j,6/7/2026 4:20:52,njqi8oziltput3sdcnjqi8obirf62zsn
*Music Concerts*,*Less than that*,*Partner*,*25-34*,*Just found out* and am *interested*,,*Sports*,1,3,,,,,,,They're *about the same*,,,,*Prison Island*,,"*Young groups of friends*, *Friend gatherings / Birthdays*",25,,,,,,93486833,54,236,a,v,j,6/7/2026 4:31:56,au52jxlmyzepa9rteau520nayh2wi7ua
"*Immersive Experiences*, *Theatre / Performances*, *Comedy Shows*, *Music Concerts*, *Nightlife / Festivals*, *Sports / Competitions*",*Once or twice a month*,,*45-54*,*Just found out* and am *interested*,,"*Videogame*, *Arcade*",,,,,,,,,,,*BRKThrough *is* much better*,,,*BRKThrough*,,,"*Mature groups of friends*, *Families (with kids)*, *Friend gatherings / Birthdays*",39,,,,55963805,16,236,c,n,j,6/7/2026 4:42:02,xmuwsj31hnyk6lxmuwsnaxoun2sks9k8
"*Immersive Experiences*, *Exhibitions / Museums*, *Theatre / Performances*, *Music Concerts*, *Movies / Cinema*, *Talks / Conferences*, *Sports / Competitions*",*Once or twice a month*,,*45-54*,*Just found out* and am *interested*,,"*Heist*, *Fairground*",,,,,,,5,5,,,,,,,,,,,,,,33416567,6,236,d,n,j,1/1/0001 0:00:00,s86xwc9mohkhrrysi8s86xwfk7icmacp
"*Immersive Experiences*, *Exhibitions / Museums*, *Theatre / Performances*, *Music Concerts*, *Movies / Cinema*, *Talks / Conferences*, *Sports / Competitions*",*Once or twice a month*,,*45-54*,*Just found out* and am *interested*,,"*Heist*, *Fairground*",,,,,,,5,5,,,,,,*BRKThrough*,,,,30,,,,33416567,6,236,d,n,j,6/7/2026 8:50:19,s86xwc9mohkhrrysi8s86xwfk7icmacp
"*Talks / Conferences*, *Exhibitions / Museums*, *Movies / Cinema*, *Sports / Competitions*, *Immersive Experiences*, *Music Concerts*, *Theatre / Performances*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*45-54*,*Just found out* and am *interested*,,"*Arcade*, *Clocks*, *Videogame*, *Space*, *Heist*",,,,,,,5,5,,,,,,,,,,,,,,33416567,6,236,d,n,j,1/1/0001 0:00:00,qcokv90pkdeh4p6jr0w1rqcokv90p0u0
"*Talks / Conferences*, *Exhibitions / Museums*, *Movies / Cinema*, *Sports / Competitions*, *Immersive Experiences*, *Music Concerts*, *Theatre / Performances*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*45-54*,*Just found out* and am *interested*,,"*Arcade*, *Clocks*, *Videogame*, *Space*, *Heist*",,,,,,,5,5,,,,Glow or Go is *slightly better*,,,,,"*School trips*, *Friend gatherings / Birthdays*, *Families (with kids)*, *Families (only adults)*, *Work groups / Teambuilding*, *Mature groups of friends*, *Young groups of friends*, *Tourists*",30,,,,33416567,6,236,d,n,j,6/7/2026 8:56:05,qcokv90pkdeh4p6jr0w1rqcokv90p0u0
"*Music Concerts*, *Movies / Cinema*",*Once or twice a month*,*Partner*,*75-84*,*I knew this* but *not for me*,,*Clocks*,1,,,,,,,,,They're *about the same*,,,*Prison Island*,,*Mature groups of friends*,40,,,,,,99974236,114,236,a,v,j,6/7/2026 10:31:05,xonl4ct7kkn1kdnii50qgjrxonl4cdxb
"*Music Concerts*, *Movies / Cinema*",*Once or twice a month*,*Partner*,*75-84*,"Don't know,* not sure I get it*",,No experience with subject matter,1,,,,,,,,,They're *about the same*,,,,,,,"*Families (only adults)*, *Mature groups of friends*",40,,,,,,,,,,6/7/2026 10:40:31,yleu70ld51ff23dvl0ga5gyleu70vtqc
"*Theatre / Performances*, *Music Concerts*, *Immersive Experiences*",*Every other month*,,*65-74*,I know *people who would* *like* this,"*Heist*, *Jail*, *Sports*",,,,,,2,5,,,,,,*BRKThrough *is* much better*,,*BRKThrough*,,,"*Mature groups of friends*, *Friend gatherings / Birthdays*, *Families (only adults)*, *Work groups / Teambuilding*, *Young groups of friends*, *School trips*",25,,,,33383807,52,236,c,v,l,6/7/2026 11:06:38,261gu249qsadfu22s2xyyonvp7g29dpa
"*Sports / Competitions*, *Exhibitions / Museums*, *Immersive Experiences*, *Theatre / Performances*, *Music Concerts*",*Once or twice a month*,"*Partner*, *My child(ren)*, *Friends* - from *Elsewhere*",*55-64*,"Don't know,* not sure I get it*",,no,,,2,1,,,,,,They're *about the same*,,,*Prison Island*,,*Young groups of friends*,20,,,,,,40854983,114,236,b,n,j,6/7/2026 11:14:16,3i9s1jcwhntyk8ocpb6p0jh3i9s1jcgd
"*Movies / Cinema*, *Exhibitions / Museums*, *Music Concerts*, *Sports / Competitions*",*Every other month*,,*25-34*,"Don't know,* not sure I get it*","*Videogame*, *Heist*",,4,4,,,,,,,They're *about the same*,,,,*BRKThrough*,,,,"*Mature groups of friends*, *Families (only adults)*",20,,,,27737543,54,236,a,v,l,6/7/2026 12:04:57,e6m8w5814re15p49e6m8w2oz926pyrr4
*Immersive Experiences*,*Once or twice a year*,*My child(ren)*,*35-44*,Actually I *really enjoy these*,"*Videogame*, *Heist*, *Arcade*",,4,,,,,,,,*Prison Island *is* much better*,,,,,,,,"*Mature groups of friends*, *Families (only adults)*, *Work groups / Teambuilding*",25,,,,96401895,21,236,a,n,l,6/7/2026 12:48:46,dcu1oh8tm7xglxrhuqbadcu1oho27dci
"*Exhibitions / Museums*, *Music Concerts*, *Nightlife / Festivals*, *Immersive Experiences*, *Theatre / Performances*",*Once or twice a month*,"*My child(ren)*, *Parent(s)*, Other* family*",*45-54*,*Just found out* and am *interested*,*Ocean*,,,,,,,,4,2,,,,,,,,,,,,,,72337013,21,236,d,n,l,1/1/0001 0:00:00,ws5wzj18mizc3de7ws5wz5npljmvrolg
"*Exhibitions / Museums*, *Music Concerts*, *Nightlife / Festivals*, *Immersive Experiences*, *Theatre / Performances*",*Once or twice a month*,"*My child(ren)*, *Parent(s)*, Other* family*",*45-54*,*Just found out* and am *interested*,*Ocean*,,,,,,,,4,2,,,*BRKThrough *is* much better*,,,*Glow or Go*,,,,,*Young groups of friends*,30,Total family prices are a great thing.,72337013,21,236,d,n,l,6/7/2026 13:09:38,ws5wzj18mizc3de7ws5wz5npljmvrolg
"*Immersive Experiences*, *Comedy Shows*, *Movies / Cinema*, *Sports / Competitions*",*Every other month*,,*35-44*,*Just found out* and am *interested*,,"*Arcade*, *Sports*, *Fairground*, *Heist*",2,4,,,,,,,*BRKThrough *is* much better*,,,,*BRKThrough*,,,,"*Families (with kids)*, *Tourists*, *Friend gatherings / Birthdays*, *Families (only adults)*, *Work groups / Teambuilding*, *Young groups of friends*",35,,,Prison idea looks dirty and gross,96346035,21,236,a,n,j,6/7/2026 13:25:03,yzt2r95e089zr2q3dm8yzt2r95hgluf1
"*Sports / Competitions*, *Music Concerts*, *Movies / Cinema*, *Theatre / Performances*, *Comedy Shows*, *Exhibitions / Museums*",*Every other month*,"*Partner*, *My child(ren)*, *Parent(s)*, *Friends* - from *Work*, *Friends* - from *Elsewhere*",*25-34*,*Just found out* and am *interested*,"*Fairground*, Gameshow",,4,5,,,,,,,BRKThrough is *slightly better*,,,,*BRKThrough*,,,,"*Families (with kids)*, *Mature groups of friends*, *Families (only adults)*, *Friend gatherings / Birthdays*, *Work groups / Teambuilding*",25,,,Try to differentiate your concept from breakout rooms,59055764,114,236,a,n,l,6/7/2026 14:03:16,hm86br566mli4sjxg7ge9vhm86br56gr
"*Sports / Competitions*, *Exhibitions / Museums*, *Music Concerts*, *Immersive Experiences*, *Theatre / Performances*, *Nightlife / Festivals*, *Movies / Cinema*, *Talks / Conferences*",*Once or twice a month*,"*Partner*, *Friends* - from *Elsewhere*",*55-64*,*Just found out* but *not for me*,,*Heist*,3,,,,,,,,,Prison Island is *slightly better*,,,*BRKThrough*,,,,*Work groups / Teambuilding*,30,,,,96285368,52,236,a,n,j,6/7/2026 15:01:46,7b5rza4y1pjr340kp7bip7w82x7hiuj3
